epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.898727297782898,0.3178001046180725,0.001,0.9636363387107849,0.1354275792837143
1,0.9554545283317566,0.14252306520938873,0.001,0.9404545426368713,0.23841600120067596
2,0.9605454802513123,0.12223466485738754,0.001,0.9659090638160706,0.10266661643981934
3,0.9735454320907593,0.08367523550987244,0.001,0.9740909337997437,0.0831674188375473
4,0.9732727408409119,0.08647322654724121,0.001,0.9931818246841431,0.021856993436813354
5,0.9757272601127625,0.08217143267393112,0.001,0.9745454788208008,0.09978049993515015
6,0.9763636589050293,0.07554199546575546,0.001,0.9481818079948425,0.21914257109165192
7,0.9789090752601624,0.06715703010559082,0.001,0.9795454740524292,0.09846054017543793
8,0.9760909080505371,0.085997574031353,0.001,0.9886363744735718,0.03599778190255165
9,0.9830909371376038,0.05506867542862892,0.001,0.9868181943893433,0.0417342483997345
